# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) ",,Artifact Flag
270.27756,44.05011,0.003587,0.000599,2.383998,53.76095,-0.2805,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.278DEC44.05.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2776&DEC=44.0501&SR=0.01,[[ 0.07407097  0.92592907]],,1
270.26957,44.04781,0.004619,0.000624,2.11597,19.82962,-3.4501,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.27DEC44.048.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2696&DEC=44.0478&SR=0.01,[[ 0.44697967  0.55302036]],,0
270.24113,44.04187,0.004212,0.000647,2.572369,46.20707,-0.2829,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.241DEC44.042.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2411&DEC=44.0419&SR=0.01,[[ 0.42696258  0.57303745]],,1
270.19998,44.03354,0.004203,0.000582,2.391191,33.857,-0.2909,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.2DEC44.034.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2&DEC=44.0335&SR=0.01,[[ 0.12453239  0.8754676 ]],,1
270.12381,44.03322,0.005569,0.000393,2.826311,2.46057,9.7705,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.124DEC44.033.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.1238&DEC=44.0332&SR=0.01,[[ 0.76390368  0.23609629]],,0
270.27737,43.98478,0.00423024,0.000577,0,0,0,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.277DEC43.985.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2774&DEC=43.9848&SR=0.01,[[ 0.90193832  0.09806172]],,0
270.27621,43.98394,0.00423768,0.000582,0,0,0,FITST22/VLASS1.1.ql.T22t19.J180246+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.276DEC43.984.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2762&DEC=43.9839&SR=0.01,[[ 0.87612593  0.12387406]],,0
270.65471,46.01694,0.00560192,0.000183,0,0,0,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.655DEC46.017.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.6547&DEC=46.0169&SR=0.01,[[ 0.84067035  0.1593297 ]],,0
270.81751,46.01607,0.00690313,0.000184,0,0,0,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.818DEC46.016.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.8175&DEC=46.0161&SR=0.01,[[ 0.93731987  0.06268011]],,0
270.60501,45.95968,0.114066,0.001413,2.617237,2.27184,3.7858,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.605DEC45.96.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.605&DEC=45.9597&SR=0.01,[[ 0.74227619  0.25772378]],,0
270.42199,45.94972,0.001048,0.000144,10.658478,3.09943,9.7672,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.422DEC45.95.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.422&DEC=45.9497&SR=0.01,[[ 0.55746979  0.44253021]],,0
270.17404,45.93138,0.00186,0.000138,3.23458,2.28178,9.9469,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.174DEC45.931.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.174&DEC=45.9314&SR=0.01,[[ 0.72458941  0.27541053]],,0
271.33429,45.83455,0.001688,0.000138,6.11963,2.66506,9.6578,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.334DEC45.835.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.3343&DEC=45.8346&SR=0.01,[[ 0.88588238  0.11411759]],,0
270.62555,45.81374,0.002676,0.000138,2.553323,2.20956,-9.284,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.626DEC45.814.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.6256&DEC=45.8137&SR=0.01,[[ 0.74669182  0.25330818]],,0
270.0413,45.8066,0.005457,0.000234,5.700346,3.3284,9.7288,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.041DEC45.807.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0413&DEC=45.8066&SR=0.01,[[ 0.56469679  0.43530318]],,0
270.02966,45.79954,0.007988,0.000239,3.207338,2.56217,10.0171,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.03DEC45.8.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0297&DEC=45.7995&SR=0.01,[[ 0.53070664  0.46929336]],,0
269.9747,45.7412,0.027563,0.000701,3.502025,3.99813,9.4424,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA269.975DEC45.741.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=269.9747&DEC=45.7412&SR=0.01,[[ 0.86751515  0.13248481]],,0
270.57982,45.71459,0.004371,0.000378,5.881418,5.03085,9.9823,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.58DEC45.715.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.5798&DEC=45.7146&SR=0.01,[[ 0.57962406  0.42037591]],,0
270.56081,45.71017,0.010667,0.000379,6.591294,5.80915,-9.5268,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.561DEC45.71.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.5608&DEC=45.7102&SR=0.01,[[ 0.42640367  0.5735963 ]],,0
270.32071,45.70583,0.001016,0.000138,4.465209,3.13216,12.6702,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.321DEC45.706.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.3207&DEC=45.7058&SR=0.01,[[ 0.54229307  0.45770699]],,0
271.35275,45.69029,0.001577,0.000138,2.126424,2.41388,-7.6102,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.353DEC45.69.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.3528&DEC=45.6903&SR=0.01,[[ 0.69276786  0.30723214]],,0
271.10846,45.65686,0.003975,0.000138,2.264559,2.65782,-7.2464,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA271.108DEC45.657.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.1085&DEC=45.6569&SR=0.01,[[ 0.89982957  0.10017046]],,0
270.40476,45.6539,0.02021,0.000273,2.595639,2.25078,10.0641,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.405DEC45.654.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.4048&DEC=45.6539&SR=0.01,[[ 0.77180874  0.22819126]],,0
270.26609,45.59155,0.003026,0.000138,2.78066,2.30722,9.8041,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.266DEC45.592.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.2661&DEC=45.5916&SR=0.01,[[ 0.88537234  0.11462766]],,0
270.53169,45.5849,0.004754,0.000138,2.325679,2.73335,-7.2914,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.532DEC45.585.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.5317&DEC=45.5849&SR=0.01,[[ 0.75053924  0.24946077]],,0
270.07466,45.57728,0.001506,0.000146,2.46428,3.18588,-10.0796,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.075DEC45.577.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0747&DEC=45.5773&SR=0.01,[[ 0.69685924  0.30314079]],,0
270.08155,45.57156,0.001856,0.000143,2.407268,2.75129,-9.8739,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.082DEC45.572.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.0816&DEC=45.5716&SR=0.01,[[ 0.70395255  0.29604751]],,0
269.98654,45.55868,0.004944,0.000217,3.539493,4.46403,9.732,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA269.987DEC45.559.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=269.9865&DEC=45.5587&SR=0.01,[[ 0.43361798  0.56638211]],,0
269.993,45.55537,0.002089,0.000211,4.294191,3.20911,-9.6778,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA269.993DEC45.555.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=269.993&DEC=45.5554&SR=0.01,[[ 0.75201511  0.24798487]],,0
270.78023,45.54579,0.001554,0.000138,2.945778,2.4522,-9.8328,FITST22/VLASS1.1.ql.T22t19.J180249+453000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST22/RA270.78DEC45.546.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.7802&DEC=45.5458&SR=0.01,[[ 0.73409259  0.26590744]],,0
