# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) "
229.18553,20.6112,0.011955,0.0002,2.416419,3.11482,-9.8939,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.186DEC20.611.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1855&DEC=20.6112&SR=0.01,[[ 0.84233612  0.15766394]]
229.18223,22.3463,0.001798,0.000135,2.238886,3.01241,-10.0247,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.182DEC22.346.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1822&DEC=22.3463&SR=0.01,[[ 0.56778115  0.43221882]]
229.16965,20.20196,0.00095,0.00012,6.031088,4.27454,9.4217,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.17DEC20.202.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1697&DEC=20.202&SR=0.01,[[ 0.61630404  0.38369593]]
229.16009,21.47931,0.001945,0.000119,3.00986,2.64827,9.95,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.16DEC21.479.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1601&DEC=21.4793&SR=0.01,[[ 0.79024875  0.20975128]]
229.16003,21.26556,0.010961,0.000179,2.350246,2.7586,-9.9478,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.16DEC21.266.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.16&DEC=21.2656&SR=0.01,[[ 0.39896765  0.60103238]]
229.15789,22.35336,0.001415,0.000135,2.592495,3.23938,-10.6682,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.158DEC22.353.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1579&DEC=22.3534&SR=0.01,[[ 0.79035366  0.20964639]]
229.15672,21.8935,0.00131,0.000119,2.770529,2.38723,-11.7358,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.157DEC21.894.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1567&DEC=21.8935&SR=0.01,[[ 0.61727756  0.38272244]]
229.14326,20.80676,0.002691,0.000116,2.725375,3.36142,-10.0154,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.143DEC20.807.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1433&DEC=20.8068&SR=0.01,[[ 0.79874223  0.20125781]]
229.11519,21.29042,0.00095,0.000119,2.577052,3.20487,8.9006,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.115DEC21.29.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1152&DEC=21.2904&SR=0.01,[[ 0.75198257  0.24801742]]
229.11463,22.4066,0.006745,0.000152,2.500213,3.76469,9.4473,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.115DEC22.407.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1146&DEC=22.4066&SR=0.01,[[ 0.75403565  0.24596439]]
229.10173,20.29742,0.001622,0.000117,2.818015,2.4613,10.1721,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.102DEC20.297.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1017&DEC=20.2974&SR=0.01,[[ 0.74007225  0.25992778]]
229.10118,23.0386,0.003891,0.000443,2.374609,4.06641,-9.7878,VLASS1.1.ql.T16t21.J151512+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.101DEC23.039.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1012&DEC=23.0386&SR=0.01,[[ 0.85990894  0.14009099]]
229.09578,21.09029,0.00473,0.000126,2.39128,2.89821,8.9288,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.096DEC21.09.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.0958&DEC=21.0903&SR=0.01,[[ 0.4529663   0.54703367]]
229.09105,20.48433,0.005093,0.000142,2.685496,3.60546,-13.2681,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.091DEC20.484.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.0911&DEC=20.4843&SR=0.01,[[ 0.74049991  0.25950009]]
229.05208,21.16591,0.015864,0.000233,2.342472,2.81135,-10.0516,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.052DEC21.166.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.0521&DEC=21.1659&SR=0.01,[[ 0.64801216  0.3519879 ]]
229.04518,21.36174,0.002392,0.000119,2.570031,3.05587,9.2017,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.045DEC21.362.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.0452&DEC=21.3617&SR=0.01,[[ 0.71480924  0.28519082]]
229.04121,22.41897,0.009442,0.000159,2.335787,2.52228,-10.083,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.041DEC22.419.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.0412&DEC=22.419&SR=0.01,[[ 0.81461436  0.1853856 ]]
229.02496,21.58057,0.001423,0.000119,2.529645,2.45983,10.1586,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.025DEC21.581.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.025&DEC=21.5806&SR=0.01,[[ 0.80664748  0.19335248]]
229.01056,22.69396,0.001028,0.000135,6.999012,2.5012,9.7157,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.011DEC22.694.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.0106&DEC=22.694&SR=0.01,[[ 0.78353345  0.21646653]]
229.00502,21.48519,0.001512,0.000119,3.04409,2.19089,22.8899,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.005DEC21.485.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.005&DEC=21.4852&SR=0.01,[[ 0.93033075  0.06966924]]
228.99099,20.21308,0.003857,0.000134,2.532008,3.15182,-9.6269,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.991DEC20.213.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.991&DEC=20.2131&SR=0.01,[[ 0.68839818  0.31160188]]
228.99051,20.2164,0.001379,0.000134,3.238573,4.68694,-10.1596,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA228.991DEC20.216.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=228.9905&DEC=20.2164&SR=0.01,[[ 0.77359062  0.22640932]]
